PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Hash
1,0,3,male,22.0,1,0,A/5 21171,7.25,,S,6c969dc7
2,1,1,female,38.0,1,0,PC 17599,71.2833,C85,C,f7ad2d69
3,1,3,female,26.0,0,0,STON/O2. 3101282,7.925,,S,7eb1fa77
4,1,1,female,35.0,1,0,113803,53.1,C123,S,c8a06e74
5,0,3,male,35.0,0,0,373450,8.05,,S,885e53ea
6,0,3,male,,0,0,330877,8.4583,,Q,fab68f7e
7,0,1,male,54.0,0,0,17463,51.8625,E46,S,558f7a85
8,0,3,male,2.0,3,1,349909,21.075,,S,cbd46ee4
9,1,3,female,27.0,0,2,347742,11.1333,,S,3f3b1d43
10,1,2,female,14.0,1,0,237736,30.0708,,C,c54fde5d
11,1,3,female,4.0,1,1,PP 9549,16.7,G6,S,97901174
12,1,1,female,58.0,0,0,113783,26.55,C103,S,0eb86cd7
13,0,3,male,20.0,0,0,A/5. 2151,8.05,,S,0384acda
14,0,3,male,39.0,1,5,347082,31.275,,S,a985d9cf
15,0,3,female,14.0,0,0,350406,7.8542,,S,d8e1ad4d
16,1,2,female,55.0,0,0,248706,16.0,,S,e46eaa96
17,0,3,male,2.0,4,1,382652,29.125,,Q,f508fe55
18,1,2,male,,0,0,244373,13.0,,S,511a68b4
19,0,3,female,31.0,1,0,345763,18.0,,S,236eeffb
20,1,3,female,,0,0,2649,7.225,,C,85e47437
21,0,2,male,35.0,0,0,239865,26.0,,S,98a687ae
22,1,2,male,34.0,0,0,248698,13.0,D56,S,b218f39a
23,1,3,female,15.0,0,0,330923,8.0292,,Q,065abc27
24,1,1,male,28.0,0,0,113788,35.5,A6,S,a39463cc
25,0,3,female,8.0,3,1,349909,21.075,,S,3dc05081
26,1,3,female,38.0,1,5,347077,31.3875,,S,aac51896
27,0,3,male,,0,0,2631,7.225,,C,c05a3f0b
28,0,1,male,19.0,3,2,19950,263.0,C23 C25 C27,S,2b0d1185
29,1,3,female,,0,0,330959,7.8792,,Q,93fd99ce
30,0,3,male,,0,0,349216,7.8958,,S,9b6b9c6b
31,0,1,male,40.0,0,0,PC 17601,27.7208,,C,abbb4b5e
32,1,1,female,,1,0,PC 17569,146.5208,B78,C,0096b593
33,1,3,female,,0,0,335677,7.75,,Q,f7312ab6
34,0,2,male,66.0,0,0,C.A. 24579,10.5,,S,a0477fd2
35,0,1,male,28.0,1,0,PC 17604,82.1708,,C,0b93db89
36,0,1,male,42.0,1,0,113789,52.0,,S,bae4087c
37,1,3,male,,0,0,2677,7.2292,,C,dc004cc1
38,0,3,male,21.0,0,0,A./5. 2152,8.05,,S,5bb4835e
39,0,3,female,18.0,2,0,345764,18.0,,S,af188059
40,1,3,female,14.0,1,0,2651,11.2417,,C,5a6ce92c
41,0,3,female,40.0,1,0,7546,9.475,,S,44b5884a
42,0,2,female,27.0,1,0,11668,21.0,,S,5e6a55df
43,0,3,male,,0,0,349253,7.8958,,C,bf7b6511
44,1,2,female,3.0,1,2,SC/Paris 2123,41.5792,,C,f96bc1a6
45,1,3,female,19.0,0,0,330958,7.8792,,Q,9f818739
46,0,3,male,,0,0,S.C./A.4. 23567,8.05,,S,948059af
47,0,3,male,,1,0,370371,15.5,,Q,19162f22
48,1,3,female,,0,0,14311,7.75,,Q,d03167f9
49,0,3,male,,2,0,2662,21.6792,,C,845d62b1
50,0,3,female,18.0,1,0,349237,17.8,,S,7cbc41b6
51,0,3,male,7.0,4,1,3101295,39.6875,,S,0d4593e3
52,0,3,male,21.0,0,0,A/4. 39886,7.8,,S,fc6d619d
53,1,1,female,49.0,1,0,PC 17572,76.7292,D33,C,fc2e90ad
54,1,2,female,29.0,1,0,2926,26.0,,S,2795be35
55,0,1,male,65.0,0,1,113509,61.9792,B30,C,15ae69e7
56,1,1,male,,0,0,19947,35.5,C52,S,56ca84cb
57,1,2,female,21.0,0,0,C.A. 31026,10.5,,S,e9897dbe
58,0,3,male,28.5,0,0,2697,7.2292,,C,323a74bf
59,1,2,female,5.0,1,2,C.A. 34651,27.75,,S,aa415d27
