,Lig,Tarih,EvSahibi,Deplasman,MSES,MSD,SON,IYES,IYD,IYS,ESS,DS,ESIS,DIS,ESF,DF,ESK,DK,ESS.1,DS.1,ESK.1,DK.1
0,T1,10/08/2018,Ankaragucu,Galatasaray,1,3,D,1,2,D,3,12,1,4,15,9,2,4,2,2,0,0.0
1,T1,11/08/2018,Fenerbahce,Bursaspor,2,1,E,2,1,E,7,6,2,3,12,15,4,4,3,3,0,0.0
2,T1,11/08/2018,Rizespor,Kasimpasa,2,3,D,1,0,E,8,14,5,6,13,14,3,6,2,1,0,0.0
3,T1,11/08/2018,Sivasspor,Alanyaspor,1,0,E,0,0,B,12,9,5,3,13,16,4,7,1,3,0,0.0
4,T1,12/08/2018,Besiktas,Akhisar Belediyespor,2,1,E,2,0,E,13,8,4,4,17,16,12,3,3,6,0,0.0
5,T1,12/08/2018,Basaksehir,Trabzonspor,2,0,E,1,0,E,15,8,5,0,16,15,9,2,2,2,0,0.0
6,T1,12/08/2018,Goztep,Yeni Malatyaspor,1,3,D,0,1,D,10,6,4,3,11,11,4,0,4,5,2,1.0
7,T1,12/08/2018,Konyaspor,Erzurum BB,3,2,E,2,1,E,16,6,9,4,11,14,4,7,1,2,0,0.0
8,T1,13/08/2018,Kayserispor,Antalyaspor,2,0,E,1,0,E,8,4,5,1,16,8,6,2,0,2,0,1.0
9,T1,17/08/2018,Trabzonspor,Sivasspor,3,1,E,3,1,E,10,12,8,3,12,19,8,5,1,4,0,0.0
10,T1,18/08/2018,Antalyaspor,Konyaspor,3,3,B,1,2,D,12,10,9,4,17,19,7,3,1,5,0,1.0
11,T1,18/08/2018,Bursaspor,Kayserispor,0,0,B,0,0,B,9,4,2,0,11,12,6,4,2,2,0,0.0
12,T1,18/08/2018,Yeni Malatyaspor,Fenerbahce,1,0,E,0,0,B,14,13,2,4,14,9,2,3,2,0,0,0.0
13,T1,19/08/2018,Akhisar Belediyespor,Rizespor,1,1,B,0,1,D,8,24,3,10,18,14,4,3,0,1,1,0.0
14,T1,19/08/2018,Alanyaspor,Ankaragucu,0,2,D,0,0,B,19,5,5,4,19,15,6,2,3,6,1,1.0
15,T1,19/08/2018,Erzurum BB,Besiktas,1,3,D,1,0,E,10,10,3,6,11,7,9,9,0,3,0,0.0
16,T1,19/08/2018,Galatasaray,Goztep,1,0,E,1,0,E,11,9,5,2,13,14,6,6,4,2,0,0.0
17,T1,20/08/2018,Kasimpasa,Basaksehir,2,1,E,0,0,B,13,15,3,5,18,16,5,2,0,3,0,0.0
18,T1,24/08/2018,Rizespor,Erzurum BB,0,0,B,0,0,B,9,11,2,3,9,20,4,7,1,1,0,0.0
19,T1,25/08/2018,Ankaragucu,Trabzonspor,2,2,B,1,1,B,15,9,6,7,11,12,5,9,2,2,0,0.0
20,T1,25/08/2018,Goztep,Fenerbahce,1,0,E,0,0,B,5,9,1,1,16,16,4,5,2,1,0,0.0
21,T1,25/08/2018,Kayserispor,Yeni Malatyaspor,0,0,B,0,0,B,13,6,5,2,15,13,4,6,2,1,0,0.0
22,T1,26/08/2018,Besiktas,Antalyaspor,2,3,D,1,3,D,28,7,10,5,15,19,12,1,2,7,0,0.0
23,T1,26/08/2018,Konyaspor,Bursaspor,1,1,B,1,1,B,16,12,6,4,18,14,11,6,2,3,0,0.0
24,T1,26/08/2018,Sivasspor,Kasimpasa,0,3,D,0,1,D,31,9,3,6,8,9,7,2,0,3,0,0.0
25,T1,27/08/2018,Basaksehir,Akhisar Belediyespor,3,1,E,1,1,B,19,9,6,2,9,14,6,2,2,4,0,0.0
26,T1,27/08/2018,Galatasaray,Alanyaspor,6,0,E,1,0,E,17,4,9,1,12,7,4,1,0,1,0,0.0
27,T1,31/08/2018,Yeni Malatyaspor,Konyaspor,0,1,D,0,1,D,11,6,3,4,9,23,3,1,2,4,0,0.0
28,T1,01/09/2018,Akhisar Belediyespor,Sivasspor,1,1,B,0,0,B,22,11,6,4,19,17,5,1,1,3,0,0.0
29,T1,01/09/2018,Alanyaspor,Goztep,1,0,E,0,0,B,9,10,2,2,16,12,5,8,2,2,0,0.0
30,T1,01/09/2018,Fenerbahce,Kayserispor,2,3,D,1,0,E,15,20,4,11,11,12,4,4,4,2,0,1.0
31,T1,01/09/2018,Trabzonspor,Galatasaray,4,0,E,3,0,E,13,8,6,0,11,7,1,1,2,1,0,1.0
32,T1,02/09/2018,Antalyaspor,Rizespor,2,1,E,0,1,D,13,6,4,2,12,13,5,5,3,3,1,1.0
33,T1,02/09/2018,Bursaspor,Besiktas,1,1,B,0,0,B,9,11,3,4,14,15,4,3,2,2,0,0.0
34,T1,02/09/2018,Erzurum BB,Basaksehir,0,1,D,0,1,D,16,5,3,2,13,11,8,2,3,1,0,0.0
35,T1,02/09/2018,Kasimpasa,Ankaragucu,2,1,E,1,0,E,10,15,4,7,8,11,5,6,1,3,0,0.0
36,T1,14/09/2018,Galatasaray,Kasimpasa,4,1,E,0,0,B,15,16,5,6,11,14,4,7,1,2,0,0.0
37,T1,15/09/2018,Ankaragucu,Akhisar Belediyespor,1,0,E,1,0,E,7,12,1,4,19,11,2,12,2,3,0,0.0
38,T1,15/09/2018,Besiktas,Yeni Malatyaspor,2,1,E,0,0,B,17,10,6,6,14,15,10,5,3,3,1,0.0
39,T1,15/09/2018,Goztep,Kayserispor,2,0,E,2,0,E,16,9,6,1,11,10,4,1,1,2,0,0.0
40,T1,16/09/2018,Basaksehir,Antalyaspor,4,0,E,1,0,E,15,8,6,3,11,8,4,2,0,2,0,0.0
41,T1,16/09/2018,Konyaspor,Fenerbahce,0,1,D,0,0,B,15,10,6,2,10,11,6,6,3,1,0,0.0
42,T1,16/09/2018,Rizespor,Bursaspor,1,1,B,0,1,D,12,9,5,4,25,19,3,3,0,2,0,0.0
